Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@2,Hit@3,Hit@4,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,GUI_States,NO,None,None,3,1.4166666666666667,24,26,0.22784810126582278,0.26582278481012656,0.2911392405063291,0.3037974683544304,0.3037974683544304,0.3037974683544304,24,0.29113924050632906,0.3037974683544304,0.3037974683544304,0.2974683544303797,0.2584388185654008,0.1953586497890295,"['11', '19', '1563', '53', '1096', '1130', '117', '1146', '1151', '128', '130', '135', '159', '1202', '1205', '192', '200', '1224', '206', '1399', '1402', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,None,None,3,8.91025641025641,78,124,0.4050632911392405,0.5189873417721519,0.5822784810126582,0.6075949367088608,0.6455696202531646,0.7088607594936709,56,0.6151898734177216,0.7848101265822784,0.8354430379746836,0.7000000000000002,0.5189903434602801,0.4326923803968747,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,3,8.91025641025641,78,124,0.4050632911392405,0.5189873417721519,0.5822784810126582,0.6075949367088608,0.6455696202531646,0.7088607594936709,56,0.6151898734177216,0.7848101265822784,0.8354430379746836,0.7000000000000002,0.5189903434602801,0.4326923803968747,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,GUI_States,None,3,1.4166666666666667,24,26,0.22784810126582278,0.26582278481012656,0.2911392405063291,0.3037974683544304,0.3037974683544304,0.3037974683544304,24,0.29113924050632906,0.3037974683544304,0.3037974683544304,0.2974683544303797,0.2584388185654008,0.1953586497890295,"['11', '19', '1563', '53', '1096', '1130', '117', '1146', '1151', '128', '130', '135', '159', '1202', '1205', '192', '200', '1224', '206', '1399', '1402', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,3,8.923076923076923,78,124,0.379746835443038,0.5189873417721519,0.5822784810126582,0.6075949367088608,0.6582278481012658,0.7215189873417721,57,0.6202531645569621,0.810126582278481,0.8734177215189873,0.7170886075949366,0.5086930953378475,0.42094971011403076,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,3,8.948717948717949,78,124,0.379746835443038,0.5189873417721519,0.5822784810126582,0.6075949367088608,0.6582278481012658,0.7215189873417721,57,0.6202531645569621,0.810126582278481,0.8734177215189873,0.7170886075949366,0.5086406803157021,0.42089729509188545,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,All_GUI_Component_IDs,None,3,1.375,24,26,0.189873417721519,0.3037974683544304,0.3037974683544304,0.3037974683544304,0.3037974683544304,0.3037974683544304,24,0.2924050632911392,0.3037974683544304,0.3037974683544304,0.2981012658227848,0.2468354430379747,0.19419831223628692,"['11', '19', '1563', '53', '1096', '1130', '117', '1146', '1151', '128', '130', '135', '159', '1202', '1205', '192', '200', '1224', '206', '1399', '1402', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,10.602564102564102,78,124,0.2911392405063291,0.43037974683544306,0.46835443037974683,0.5316455696202531,0.620253164556962,0.7721518987341772,61,0.5987341772151897,0.8227848101265823,0.8734177215189873,0.7151898734177214,0.4373793808662828,0.39365700382406,"['2', '8', '10', '11', '18', '19', '1563', '1568', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '159', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1223', '1224', '1228', '206', '248', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,10.602564102564102,78,124,0.2911392405063291,0.43037974683544306,0.46835443037974683,0.5316455696202531,0.620253164556962,0.7721518987341772,61,0.5987341772151897,0.8227848101265823,0.8734177215189873,0.7151898734177214,0.4373793808662828,0.39365700382406,"['2', '8', '10', '11', '18', '19', '1563', '1568', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '159', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1223', '1224', '1228', '206', '248', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,3,1.4166666666666667,24,26,0.189873417721519,0.2911392405063291,0.3037974683544304,0.3037974683544304,0.3037974683544304,0.3037974683544304,24,0.29113924050632906,0.3037974683544304,0.3037974683544304,0.2974683544303797,0.24472573839662445,0.1920886075949367,"['11', '19', '1563', '53', '1096', '1130', '117', '1146', '1151', '128', '130', '135', '159', '1202', '1205', '192', '200', '1224', '206', '1399', '1402', '1428', '1430', '1481']"
