Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@2,Hit@3,Hit@4,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,GUI_States,NO,None,None,3,1.5,28,29,0.24050632911392406,0.2911392405063291,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3367088607594937,0.35443037974683544,0.35443037974683544,0.34556962025316457,0.2869198312236287,0.21856540084388185,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '1223', '1224', '256', '1399', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,None,None,3,8.792207792207792,77,124,0.4177215189873418,0.5189873417721519,0.5569620253164557,0.6075949367088608,0.6329113924050633,0.7215189873417721,57,0.6151898734177216,0.7721518987341772,0.8481012658227848,0.6974683544303797,0.5221082627193891,0.43785226877351385,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '135', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,3,8.805194805194805,77,124,0.4177215189873418,0.5189873417721519,0.5569620253164557,0.6075949367088608,0.6329113924050633,0.7215189873417721,57,0.6151898734177216,0.7721518987341772,0.8354430379746836,0.6968354430379747,0.5220781240816555,0.4378221301357803,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '135', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,GUI_States,None,3,1.6428571428571428,28,29,0.22784810126582278,0.26582278481012656,0.34177215189873417,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.33164556962025316,0.35443037974683544,0.35443037974683544,0.3430379746835443,0.27531645569620256,0.207753164556962,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '1223', '1224', '256', '1399', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,3,9.03896103896104,77,124,0.3924050632911392,0.4936708860759494,0.5569620253164557,0.5949367088607594,0.6329113924050633,0.7215189873417721,57,0.610126582278481,0.810126582278481,0.8481012658227848,0.7031645569620253,0.5051442590044847,0.42035787528083285,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,3,9.064935064935066,77,124,0.3924050632911392,0.4936708860759494,0.5569620253164557,0.5949367088607594,0.6329113924050633,0.7215189873417721,57,0.610126582278481,0.810126582278481,0.8354430379746836,0.7025316455696202,0.5050946461700617,0.4203082624464099,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,All_GUI_Component_IDs,None,3,1.6785714285714286,28,29,0.16455696202531644,0.3037974683544304,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3303797468354431,0.35443037974683544,0.35443037974683544,0.3424050632911393,0.2510548523206751,0.20063291139240505,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '1223', '1224', '256', '1399', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,11.935064935064934,77,124,0.26582278481012656,0.4050632911392405,0.46835443037974683,0.5316455696202531,0.620253164556962,0.7468354430379747,59,0.5759493670886077,0.7848101265822784,0.8481012658227848,0.6822784810126582,0.41526064631609083,0.37200062587488947,"['2', '8', '10', '11', '18', '19', '1563', '1568', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1151', '128', '129', '130', '158', '159', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,11.935064935064934,77,124,0.26582278481012656,0.4050632911392405,0.46835443037974683,0.5316455696202531,0.620253164556962,0.7468354430379747,59,0.5759493670886077,0.7848101265822784,0.8481012658227848,0.6822784810126582,0.41526064631609083,0.37200062587488947,"['2', '8', '10', '11', '18', '19', '1563', '1568', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1151', '128', '129', '130', '158', '159', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,3,1.7142857142857142,28,29,0.1518987341772152,0.3037974683544304,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.32911392405063294,0.35443037974683544,0.35443037974683544,0.3417721518987342,0.24472573839662445,0.19852320675105484,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '1223', '1224', '256', '1399', '1428', '1430', '1481']"
